PassengerId,Survived,Pclass,Age,Cabin,Person,Family
1,0,3,22.0,,male,1
2,1,1,38.0,C85,female,1
3,1,3,26.0,,female,0
4,1,1,35.0,C123,female,1
5,0,3,35.0,,male,0
6,0,3,,,male,0
7,0,1,54.0,E46,male,0
8,0,3,2.0,,child,1
9,1,3,27.0,,female,1
10,1,2,14.0,,child,1
11,1,3,4.0,G6,child,1
12,1,1,58.0,C103,female,0
13,0,3,20.0,,male,0
14,0,3,39.0,,male,1
15,0,3,14.0,,child,0
16,1,2,55.0,,female,0
17,0,3,2.0,,child,1
18,1,2,,,male,0
19,0,3,31.0,,female,1
20,1,3,,,female,0
21,0,2,35.0,,male,0
22,1,2,34.0,D56,male,0
23,1,3,15.0,,child,0
24,1,1,28.0,A6,male,0
25,0,3,8.0,,child,1
26,1,3,38.0,,female,1
27,0,3,,,male,0
28,0,1,19.0,C23 C25 C27,male,1
29,1,3,,,female,0
30,0,3,,,male,0
31,0,1,40.0,,male,0
32,1,1,,B78,female,1
33,1,3,,,female,0
34,0,2,66.0,,male,0
35,0,1,28.0,,male,1
36,0,1,42.0,,male,1
37,1,3,,,male,0
38,0,3,21.0,,male,0
39,0,3,18.0,,female,1
40,1,3,14.0,,child,1
41,0,3,40.0,,female,1
42,0,2,27.0,,female,1
43,0,3,,,male,0
44,1,2,3.0,,child,1
45,1,3,19.0,,female,0
46,0,3,,,male,0
47,0,3,,,male,1
48,1,3,,,female,0
49,0,3,,,male,1
50,0,3,18.0,,female,1
51,0,3,7.0,,child,1
52,0,3,21.0,,male,0
53,1,1,49.0,D33,female,1
54,1,2,29.0,,female,1
55,0,1,65.0,B30,male,1
56,1,1,,C52,male,0
57,1,2,21.0,,female,0
58,0,3,28.5,,male,0
59,1,2,5.0,,child,1
60,0,3,11.0,,child,1
61,0,3,22.0,,male,0
62,1,1,38.0,B28,female,0
63,0,1,45.0,C83,male,1
64,0,3,4.0,,child,1
65,0,1,,,male,0
66,1,3,,,male,1
67,1,2,29.0,F33,female,0
68,0,3,19.0,,male,0
69,1,3,17.0,,female,1
70,0,3,26.0,,male,1
71,0,2,32.0,,male,0
72,0,3,16.0,,female,1
73,0,2,21.0,,male,0
74,0,3,26.0,,male,1
75,1,3,32.0,,male,0
76,0,3,25.0,F G73,male,0
77,0,3,,,male,0
78,0,3,,,male,0
79,1,2,0.83,,child,1
80,1,3,30.0,,female,0
81,0,3,22.0,,male,0
82,1,3,29.0,,male,0
83,1,3,,,female,0
84,0,1,28.0,,male,0
85,1,2,17.0,,female,0
86,1,3,33.0,,female,1
87,0,3,16.0,,male,1
88,0,3,,,male,0
89,1,1,23.0,C23 C25 C27,female,1
90,0,3,24.0,,male,0
91,0,3,29.0,,male,0
92,0,3,20.0,,male,0
93,0,1,46.0,E31,male,1
94,0,3,26.0,,male,1
95,0,3,59.0,,male,0
96,0,3,,,male,0
97,0,1,71.0,A5,male,0
98,1,1,23.0,D10 D12,male,1
99,1,2,34.0,,female,1
100,0,2,34.0,,male,1
101,0,3,28.0,,female,0
102,0,3,,,male,0
103,0,1,21.0,D26,male,1
104,0,3,33.0,,male,0
105,0,3,37.0,,male,1
106,0,3,28.0,,male,0
107,1,3,21.0,,female,0
108,1,3,,,male,0
109,0,3,38.0,,male,0
110,1,3,,,female,1
111,0,1,47.0,C110,male,0
112,0,3,14.5,,child,1
113,0,3,22.0,,male,0
114,0,3,20.0,,female,1
115,0,3,17.0,,female,0
116,0,3,21.0,,male,0
117,0,3,70.5,,male,0
118,0,2,29.0,,male,1
119,0,1,24.0,B58 B60,male,1
120,0,3,2.0,,child,1
121,0,2,21.0,,male,1
122,0,3,,,male,0
123,0,2,32.5,,male,1
124,1,2,32.5,E101,female,0
125,0,1,54.0,D26,male,1
126,1,3,12.0,,child,1
127,0,3,,,male,0
128,1,3,24.0,,male,0
129,1,3,,F E69,female,1
130,0,3,45.0,,male,0
131,0,3,33.0,,male,0
132,0,3,20.0,,male,0
133,0,3,47.0,,female,1
